철도운영기관명,선명,역명,지상지하구분,역층,출입구번호,상세위치,이용가능시간,전화번호
코레일,1호선,동인천,지상,1,1,선하 역무실,05:00 ~ 24:00,032-772-7788
코레일,1호선,인천,지상,1,1,(1) 대합실 역무실 내,열차운행시간 내,032-772-0784
코레일,1호선,광운대,지상,1,2,역무실 안쪽,05:00~24:00,02-917-7445
코레일,1호선,광명,지상,1,2,(1F) 종합안내/ 2번 출입구 방향,07:00 ~ 24:00,02-899-9270
코레일,1호선,구로,지상,3,1,(3F)1번출구 맞이방 역무실,08:00-23:00,02-2639-3259
코레일,1호선,가산디지털단지,지상,2,1,(2F) 맞이방 게이트 옆 (2번/10번/11번 출구 방향),05:00~23:00,02-2639-3345
코레일,1호선,독산,지상,2,,(2F) 역무실 내,06:00 ~ 24:00,02-2639-3229
코레일,1호선,의왕,지상,3,2,(F3)역무실,05:00~24:00,031-461-7788
코레일,1호선,수원,지상,2,2,(2F) 맞이방 3번출입구 크리스피도넛/ 부산미도어묵 매장 방향,05:00~24:00,031-250-6338
코레일,1호선,평택,지상,3,,(3F) 대합실 안내센터,05:00 ~ 24:00,031-652-0245
코레일,1호선,성환,지상,2,,역무실 고객센터,04:00~23:59,041-581-7788
코레일,1호선,직산,지상,2,1,맞이방 역무실,09:00 ~ 22:00,041-583-7788
코레일,1호선,천안,지상,3,,(3F) 동부맞이방 역무실,06:00~24:00,041-562-7034
코레일,1호선,봉명,지상,2,,2F 맞이방/ 역무실,04:50 ~ 00:20,041-579-7432
코레일,1호선,쌍용(나사렛대),지상,1,2,(1F) 남쪽 게이트 우측 > (1F) 역무실 내,04:40 ~ 00:20,041-571-0364
코레일,1호선,아산,지상,1,1,아산역 1층 역무실,04:40 ~ 24:00,042-532-6610
코레일,1호선,온양온천,지상,2,1,(F2) 역무실 옆,04:30~00:20,041-541-0865
코레일,1호선,신창(순천향대),지상,1,1,1층 역무실 내부,05:00 ~ 00:00,041-543-7788
코레일,1호선,탕정,지상,1,1,(1) 대합실 역무실,04:30~00:20,041-548-6788
코레일,3호선,대화,지하,1,,역사무실,05:30~23:30,031-917-7799
코레일,3호선,마두,지하,1,4,(B1) 대합실 고객센터/ 4번 출입구 방향,05:30~00:00,031-901-7728
코레일,3호선,원당,지상,1,,역무실,05:00~24:00,031-965-8747
코레일,4호선,대야미,지상,1,2,(1층)/ 역무실 안,05:00~24:00,031-406-7723
코레일,4호선,한대앞,지상,2,1,(2층) 역무실,05:00 ~ 24:00,031-406-7788
코레일,4호선,산본,지상,3,1,(3F) 승차권자동발매기 옆 역무실,05:00~23:30,031-391-7788
코레일,4호선,중앙,지상,1,1,(1층) 역무실,05:00 ~ 24:00,031-485-7788
코레일,4호선,안산,지상,2,1,(2층) 역무실 안,05:00 ~ 24:00,031-491-7790
코레일,4호선,오이도,지상,3,,(3층) 맞이방 역무실/ 게이트 옆,05:00~24:00,031-319-7788
코레일,수인분당,인천,지하,1,2,(B1) 대합실 역무실 내,열차운행시간내,031-8077-5271
코레일,수인분당,미금(분당서울대병원),지하,1,4,(B1)역무실,04:30 ~ 01:00,031-713-3235
코레일,수인분당,수원,지하,3,5,(B3)대합실 역무실,04:00~익일01:00,031-242-7738
코레일,수인분당,고색,지하,1,,(B1) 역무실,05:00 ~ 00:00,031-250-6711
코레일,수인분당,중앙,지상,1,1,(1층) 역무실,05:00 ~ 24:00,031-485-7788
코레일,수인분당,안산,지상,2,1,(2층) 역무실 안,05:00 ~ 24:00,031-491-7790
코레일,수인분당,한티,지하,1,,(B1) 대합실 고객센터,05:00~24:00,02-569-9704
코레일,수인분당,구성,지하,1,1,(B1) 맞이방 역무실/ 1번/2번 출입구 맞은편,04:30~00:30,031-274-4161
코레일,경춘,퇴계원,지상,1,2,(F1) 대합실 고객센터,05:00~24:10,031-571-7788
코레일,경춘,금곡,지상,3,1,(3F) 역무실,04:50~00:00,031-511-7823
코레일,경춘,평내호평,지상,1,2,(1F) 역무실,04:50~00:00,031-591-7788
코레일,경춘,청평,지상,1,1,(1) 북쪽 맞이방/ 1번 출입구 방향,09:00 ~ 22:00,031-584-7798
코레일,경춘,춘천(한림대),지상,3,1,(1F) 춘천역 역무실,05:00 ~ 01:00,033-241-7758
코레일,경춘,남춘천(강원대),지상,2,,(2층) 맞이방 역무실,05:00~24:00,033-257-7022
코레일,경의중앙,공덕,지하,1,10,(B1) 맞이방 역무실 ,05:00~24:00,02-702-5277
코레일,경의중앙,서울역,지상,1,1,(1F) 역무실,05:00~23:30,02-3149-2532
코레일,경의중앙,야당,지상,2,,(2F)역무실,09:00~22:00,031-941-8535
코레일,경의중앙,망우,지상,3,1,(3층) 역무실 내,05:10~00:10,02-432-7788
코레일,경의중앙,강매,지상,2,1,(2F) 맞이방 역무실 내,05:30~24:00,031-938-2534
코레일,경의중앙,곡산,지상,2,1,(2F) 역무실,05:00~00:00,031-907-5155
코레일,경의중앙,서빙고,지상,2,1,역무실,05:00~24:00,02-795-0778
코레일,경의중앙,한남,지상,1,1,(1F) 연결통로 역무실/1번 출입구 방향,05:00 ~ 23:30,02-798-5710
코레일,경의중앙,옥수,지상,1,,(1층) 상행 승강장 4-1앞 역무실,04:30~24:30,02-3299-7328
코레일,경의중앙,양정,지상,1,1,1F 개찰구 옆 고객지원실,04:30~00:30,031-559-7786
코레일,경의중앙,덕소,지상,3,,대합실 게이트 옆,06:00-23:00,031-577-7788
코레일,경의중앙,양수,지상,2,2,(2F) 역무실 내,05:00~24:00,031-772-6006
코레일,경의중앙,청량리,지상,3,3,(3층) 맞이방 매표실 옆 역무실,04:30~24:30,02-966-2643
코레일,경의중앙,효창공원앞,지하,1,4,(B1) 역무실,05:00~24:00,02-701-6418
코레일,경의중앙,홍대입구,지하,2,7,(B2) 맞이방 역무실 내/ 7번 출입구 앞쪽,05:30~24:00,02-322-7898
코레일,경의중앙,가좌,지하,1,1,(B1) 맞이방 역무실 내,05:30~24:00,02-373-1280
코레일,경의중앙,디지털미디어시티,지상,2,6,(2F) 맞이방 역무실 내,05:30~24:00,02-305-1030
코레일,경의중앙,수색,지상,3,1,(3F) 맞이방 역무실 내,05:30~24:00,02-305-7788
코레일,경의중앙,행신,지상,2,1,(2F) 1/ 2번 출압구/ 맞이방 역무실 내,06:00~23:00,031-979-0263
코레일,경의중앙,풍산,지상,1,2,(1F)역무실,05:02~00:00,031-907-9154
코레일,경의중앙,일산,지상,3,,(3F)역무실,09:00~22:00,031-976-7788
코레일,경의중앙,탄현,지상,2,,(2F)역무실,09:00~22:00,031-911-1271
코레일,경의중앙,운정,지상,3,2,맞이방 발매기 옆,05:00~00:20,031-948-1877
코레일,경의중앙,금촌,지상,2,1,(2F) 맞이방 발매기 옆,05:00~00:36,031-946-0788
코레일,경의중앙,월롱(서영대학교),지상,1,1,(1F)역무실,04:40~00:35,031-942-5753
코레일,경의중앙,파주(두원대학),지상,1,1,(F1) 대합실 고객센터/ 1번 출입구 방향,05:06~00:36,031-952-6264
코레일,경의중앙,문산,지상,4,1,(4F)역무실,05:00~24:00,031-952-7788
코레일,경의중앙,운천,지상,1,1,(1F)역무실,09:00~18:00,031-960-3549
코레일,경의중앙,신촌,지상,2,,(2F) 맞이방 역무실 내/ 1/ 2번 출입구 앞쪽,06:00~23:00,02-363-7788
코레일,경의중앙,응봉,지상,2,2,(2층) 맞이방 게이트 통과 우측 역무실,04:30~24:30,02-2295-6319
코레일,경의중앙,왕십리,지상,2,2,(2F) 역무실내,05:30~00:00,02-2291-7787
코레일,경의중앙,한국항공대,지상,1,1,대합실 역무실,05:30~24:20,02-3158-0788
코레일,경의중앙,백마,지상,2,1,(2F) 1번출구 앞 역무실,04:40~00:30,031-901-7788
코레일,경의중앙,금릉,지상,2,1,(2F) 맞이방 발매기 옆,04:50~00:20,031-948-4788
코레일,경의중앙,임진강,지상,1,1,(F1) 대합실 고객센터/ 1번 출입구 방향,09:00~18:00,031-954-1074
코레일,경강,판교(판교테크노밸리),지하,2,4,(B2) 맞이방 4번 출입구 방향,05:00~00:30,031-8016-7291
코레일,경강,경기광주,지상,1,,1층 역무실,05:00~00:00,031-761-8460
코레일,경강,여주,지상,1,1,(1F) 대합실 1번 출입구 옆 역무실,05:00~00:20,031-881-4905
코레일,동해,부전,지상,2,1,(2F) 대합실 내 역무실,05:00~00:00,051-440-2453
코레일,동해,망양,지상,1,,(1F) 주출입구 맞이방 내 역무실,04:50 ~ 00:40,052-226-6241
코레일,동해,덕하,지상,1,1,역무실,06:00~24:00,052-226-6234
코레일,동해,태화강,지상,2,,역무실 내,06:00 ~ 24:00,052-272-9726
